scientificName,Name,Conservation,Low,High,Order,Redlist,Trend,Threat,Habitat,Redlist2,
Maculabatis macrura,Sharpnose Whipray,"Land/water protection, Species management, Law & policy",0,60,MYLIOBATIFORMES,2,Decreasing,"Residential & commercial development, Biological resource use, Pollution","Neritic, Intertidal",Endangered,
Megachasma pelagios,Megamouth Shark,Species management,5,1500,LAMNIFORMES,5,Unknown,Biological resource use,Oceanic,Least Concern,
Lamna ditropis,Salmon Shark,Species management,0,1864,LAMNIFORMES,5,Stable,Biological resource use,"Neritic, Oceanic",Least Concern,
Carcharhinus borneensis,Borneo Shark,"Land/water protection, Species management, Law & policy",0,50,CARCHARHINIFORMES,1,Decreasing,"Residential & commercial development, Biological resource use",Neritic,Critically Endangered,
Atelomycterus marmoratus,Coral Catshark,"Land/water protection, Land/water management, Law & policy",5,100,CARCHARHINIFORMES,4,Decreasing,"Biological resource use, Climate change & severe weather",Neritic,Near Threatened,
Centrophorus uyato,Little Gulper Shark,Law & policy,50,1400,SQUALIFORMES,2,Decreasing,Biological resource use,"Oceanic, Deep Benthic",Endangered,
Chiloscyllium indicum,Slender Bambooshark,"Land/water protection, Species management, Law & policy",0,90,ORECTOLOBIFORMES,3,Decreasing,Biological resource use,Neritic,Vulnerable,
Chiloscyllium griseum,Indonesian Bambooshark,"Land/water protection, Species management, Law & policy",0,12,ORECTOLOBIFORMES,3,Decreasing,Biological resource use,Neritic,Vulnerable,
Cirrhigaleus barbifer,Mandarin Shark,null,146,795,SQUALIFORMES,5,Stable,Biological resource use,"Neritic, Deep Benthic",Least Concern,
Hemigaleus microstoma,Sickelfin Weasel Shark,"Land/water protection, Species management, Law & policy",0,170,CARCHARHINIFORMES,3,Decreasing,Biological resource use,Neritic,Vulnerable,
Rhina ancylostoma,Bowmouth Guitarfish,"Land/water protection, Land/water management, Species management, Education & awareness, Law & policy",0,70,RHINOPRISTIFORMES,1,Decreasing,Biological resource use,Neritic,Critically Endangered,
Rhynchobatus laevis,Smoothnose Wedgefish,"Land/water protection, Land/water management, Species management, Education & awareness, Law & policy",0,60,RHINOPRISTIFORMES,1,Decreasing,Biological resource use,Neritic,Critically Endangered,
Oxynotus japonicus,Japanese Roughshark,"Land/water protection, Species management, Law & policy",150,350,SQUALIFORMES,3,Decreasing,Biological resource use,"Neritic, Deep Benthic",Vulnerable,
Apristurus gibbosus,Humpback Catshark,null,600,50,CARCHARHINIFORMES,5,Stable,Biological resource use,Deep Benthic,Least Concern,
Apristurus herklotsi,Longfin Catshark,null,423,910,CARCHARHINIFORMES,5,Stable,Biological resource use,Deep Benthic,Least Concern,
Apristurus internatus,Shortnose Demon Catshark,null,200,1000,CARCHARHINIFORMES,5,Stable,Biological resource use,Deep Benthic,Least Concern,
Apristurus macrostomus,Broadmouth Catshark,null,220,1069,CARCHARHINIFORMES,5,Stable,Biological resource use,Deep Benthic,Least Concern,
Apristurus micropterygeus,Smalldorsal Catshark,null,900,913,CARCHARHINIFORMES,5,Stable,Biological resource use,Deep Benthic,Least Concern,
Bythaelurus immaculatus,Spotless Catshark,null,534,1020,CARCHARHINIFORMES,5,Stable,Biological resource use,Deep Benthic,Least Concern,
Centrophorus isodon,Blackfin Gulper Shark,"Land/water protection, Species management, Law & policy",435,770,SQUALIFORMES,2,Decreasing,Biological resource use,Deep Benthic,Endangered,
Etmopterus sheikoi,Rasptooth Dogfish,null,340,370,SQUALIFORMES,5,Stable,Biological resource use,Deep Benthic,Least Concern,
Urolophus aurantiacus,Oriental Stingaree,"Land/water protection, Species management, Law & policy",10,205,MYLIOBATIFORMES,3,Decreasing,Biological resource use,"Deep Benthic, Neritic",Vulnerable,
Gymnura zonura,Zonetail Butterfly Ray,"Land/water protection, Species management, Law & policy",0,40,MYLIOBATIFORMES,2,Decreasing,"Residential & commercial development, Biological resource use, Climate change & severe weather",Neritic,Endangered,
Gymnura poecilura,Longtail Butterfly Ray,"Land/water protection, Species management, Law & policy",0,75,MYLIOBATIFORMES,3,Decreasing,"Residential & commercial development, Biological resource use, Climate change & severe weather",Neritic,Vulnerable,
Aetomylaeus maculatus,Mottled Eagle Ray,"Land/water protection, Species management, Law & policy",0,60,MYLIOBATIFORMES,2,Decreasing,Biological resource use,Neritic,Endangered,
Rhinoptera javanica,Javanese Cownose Ray,"Land/water protection, Species management, Law & policy",0,50,MYLIOBATIFORMES,2,Decreasing,"Residential & commercial development, Biological resource use, Climate change & severe weather","Neritic, Oceanic, Coastal/Supratidal",Endangered,
Telatrygon acutirostra,Sharpnose Ray,"Land/water protection, Species management, Law & policy",2,142,MYLIOBATIFORMES,3,Decreasing,"Residential & commercial development, Biological resource use",Neritic,Vulnerable,
Rhinobatos hynnicephalus,Ringed Guitarfish,"Land/water protection, Species management, Law & policy",20,100,RHINOPRISTIFORMES,2,Decreasing,"Residential & commercial development, Biological resource use",Neritic,Endangered,
Hydrolagus mitsukurii,Mitsukuri's Chimaera,"Land/water protection, Species management",325,710,CHIMAERIFORMES,4,Decreasing,Biological resource use,Deep Benthic,Near Threatened,
Chiloscyllium plagiosum,Whitespotted Bambooshark,"Land/water protection, Species management",0,50,ORECTOLOBIFORMES,4,Decreasing,Biological resource use,Neritic,Near Threatened,
Narcine brevilabiata,Shortlip Numbfish,"Land/water protection, Species management, Law & policy",41,70,TORPEDINIFORMES,3,Decreasing,Biological resource use,Neritic,Vulnerable,
Etmopterus burgessi,Broadnose Lanternshark,null,300,600,SQUALIFORMES,5,Stable,Biological resource use,Deep Benthic,Least Concern,
Cirrhoscyllium expolitum,Barbelthroat Carpetshark,null,183,190,ORECTOLOBIFORMES,6,Unknown,Biological resource use,Neritic,Data Deficient,
Dipturus tengu,Acutenose Skate,"Land/water protection, Species management",45,400,RAJIFORMES,4,Decreasing,Biological resource use,"Neritic, Deep Benthic",Near Threatened,
Myliobatis tobijei,Japanese Eagle Ray,"Land/water protection, Species management, Law & policy",0,60,MYLIOBATIFORMES,3,Decreasing,"Residential & commercial development, Agriculture & aquaculture, Biological resource use",Neritic,Vulnerable,
Sinobatis melanosoma,Blackbodied Legskate,null,575,1100,RAJIFORMES,5,Stable,Biological resource use,Deep Benthic,Least Concern,
Scymnodon ichiharai,Japanese Velvet Dogfish,"Land/water protection, Species management",450,830,SQUALIFORMES,3,Decreasing,Biological resource use,Deep Benthic,Vulnerable,
Galeus eastmani,Gecko Catshark,null,100,900,CARCHARHINIFORMES,5,Stable,Biological resource use,"Neritic, Deep Benthic",Least Concern,
Hemitriakis complicofasciata,Ocellate Topeshark,"Land/water protection, Species management, Law & policy",90,100,CARCHARHINIFORMES,3,Decreasing,Biological resource use,Neritic,Vulnerable,
Sinobatis borneensis,Borneo Legskate,null,316,990,RAJIFORMES,5,Stable,Biological resource use,Deep Benthic,Least Concern,
Centrophorus atromarginatus,Dwarf Gulper Shark,null,100,540,SQUALIFORMES,1,Decreasing,Biological resource use,"Neritic, Deep Benthic",Critically Endangered,
Dipturus gigas,Giant Skate,"Land/water protection, Species management",300,1000,RAJIFORMES,4,Decreasing,Biological resource use,Deep Benthic,Near Threatened,
Triakis scyllium,Banded Houndshark,"Land/water protection, Species management, Law & policy",30,150,CARCHARHINIFORMES,2,Decreasing,Biological resource use,Neritic,Endangered,
Dipturus kwangtungensis,Kwangtung Skate,null,50,100,RAJIFORMES,6,Unknown,Biological resource use,Neritic,Data Deficient,
Galeus sauteri,Blacktip Sawtail Catshark,null,60,600,CARCHARHINIFORMES,5,Stable,Biological resource use,"Neritic, Oceanic, Deep Benthic",Least Concern,
Squalus japonicus,Japanese Spurdog,"Land/water protection, Species management, Law & policy",52,400,SQUALIFORMES,2,Decreasing,Biological resource use,"Neritic, Deep Benthic",Endangered,
Scyliorhinus torazame,Torazame Catshark,"Land/water protection, Species management",0,320,CARCHARHINIFORMES,5,Stable,Biological resource use,"Neritic, Deep Benthic",Least Concern,
Squalus brevirostris,Japanese Shortnose Spurdog,"Land/water protection, Species management, Law & policy",40,342,SQUALIFORMES,2,Decreasing,Biological resource use,Neritic,Endangered,
Etmopterus splendidus,Splendid Lanternshark,null,100,300,SQUALIFORMES,5,Stable,Biological resource use,"Neritic, Deep Benthic",Least Concern,
Okamejei meerdervoortii,Bigeye Skate,"Land/water protection, Species management, Law & policy",30,150,RAJIFORMES,3,Decreasing,Biological resource use,Neritic,Vulnerable,
Parmaturus melanobranchus,Blackgill Catshark,null,549,1110,CARCHARHINIFORMES,5,Stable,Biological resource use,Deep Benthic,Least Concern,
Hemitriakis japanica,Japanese Topeshark,"Land/water protection, Species management, Law & policy",1,100,CARCHARHINIFORMES,2,Decreasing,"Residential & commercial development, Biological resource use",Neritic,Endangered,
Narcine lingula,Chinese Numbfish,"Land/water protection, Species management, Law & policy",1,200,TORPEDINIFORMES,3,Decreasing,Biological resource use,Neritic,Vulnerable,
Okamejei hollandi,Yellow Spotted Skate,"Land/water protection, Species management, Law & policy",65,87,RAJIFORMES,3,Decreasing,Biological resource use,Neritic,Vulnerable,
Okamejei mengae,Meng's Skate,null,15,60,RAJIFORMES,6,Unknown,Biological resource use,,Data Deficient,
Paragaleus tengi,Straight-tooth Weasel Shark,"Land/water protection, Species management, Law & policy",1,20,CARCHARHINIFORMES,2,Decreasing,"Residential & commercial development, Biological resource use",Neritic,Endangered,
Narcine maculata,Smallspot Numbfish,"Land/water protection, Species management, Law & policy",15,90,TORPEDINIFORMES,3,Decreasing,Biological resource use,Neritic,Vulnerable,
Orectolobus japonicus,Japanese Wobbegong,null,0,200,ORECTOLOBIFORMES,5,Decreasing,"Biological resource use, Residential & commercial development",Neritic,Least Concern,
Galeus nipponensis,Broadfin Sawtail Catshark,null,150,840,CARCHARHINIFORMES,5,Stable,Biological resource use,Deep Benthic,Least Concern,
Hemitrygon sinensis,Chinese Stingray,"Land/water protection, Species management, Law & policy",0,200,MYLIOBATIFORMES,2,Decreasing,"Biological resource use, Residential & commercial development",Neritic,Endangered,
