scientificName,Name,Conservation,Low,High,Order,Redlist,Trend,Threat,Habitat,Redlist2,
Squalus formosus,Taiwan Spurdog,"Land/water protection, Species management, Law & policy",180,790,SQUALIFORMES,2,Decreasing,Biological resource use,"Neritic, Deep Benthic",Endangered,
Etmopterus joungi,Shortfin Smooth Lanternshark,null,300,1000,SQUALIFORMES,5,Stable,Biological resource use,Deep Benthic,Least Concern,
Cephaloscyllium formosanum,Formosa Swellshark,null,300,366,CARCHARHINIFORMES,5,Stable,Biological resource use,Deep Benthic,Least Concern,
Scoliodon macrorhynchos,New Spadenose Shark,"Land/water protection, Species management, Law & policy",0,50,CARCHARHINIFORMES,4,Decreasing,"Residential & commercial development, Biological resource use",Neritic,Near Threatened,
Platyrhina tangi,Yellow-spotted Fanray,"Land/water protection, Species management, Law & policy",10,100,TORPEDINIFORMES,3,Decreasing,"Residential & commercial development, Biological resource use",Neritic,Vulnerable,
Dipturus chinensis,Polkadot Skate,"Land/water protection, Species management, Law & policy",20,80,RAJIFORMES,3,Decreasing,"Residential & commercial development, Biological resource use",Neritic,Vulnerable,
Lamiopsis tephrodes,Borneo Broadfin Shark,"Land/water protection, Species management, Law & policy",0,50,CARCHARHINIFORMES,2,Decreasing,"Residential & commercial development, Biological resource use",Neritic,Endangered,
Pseudocarcharias kamoharai,Crocodile Shark,Species management,0,590,LAMNIFORMES,5,Increasing,Biological resource use,Oceanic,Least Concern,
Carcharhinus amblyrhynchos,Grey Reef Shark,"Land/water protection, Species management, Law & policy",0,280,CARCHARHINIFORMES,2,Decreasing,"Residential & commercial development, Agriculture & aquaculture, Biological resource use, Human intrusions & disturbance, Climate change & severe weather",Neritic,Endangered,
Carcharhinus amboinensis,Pigeye Shark,"Land/water protection, Species management, Law & policy",0,60,CARCHARHINIFORMES,3,Decreasing,"Residential & commercial development, Biological resource use","Neritic, Intertidal",Vulnerable,
Carcharhinus macloti,Hardnose Shark,null,0,200,CARCHARHINIFORMES,4,Decreasing,Biological resource use,Neritic,Near Threatened,
Carcharhinus sorrah,Spottail Shark,"Land/water protection, Species management",0,140,CARCHARHINIFORMES,4,Decreasing,Biological resource use,Neritic,Near Threatened,
Loxodon macrorhinus,Sliteye Shark,"Land/water protection, Species management",2,120,CARCHARHINIFORMES,4,Decreasing,"Residential & commercial development, Biological resource use, Climate change & severe weather",Neritic,Near Threatened,
Negaprion acutidens,Sharptooth Lemon Shark,"Land/water protection, Species management, Law & policy",0,90,CARCHARHINIFORMES,2,Decreasing,"Agriculture & aquaculture, Biological resource use, Climate change & severe weather","Neritic, Intertidal",Endangered,
Rhizoprionodon oligolinx,Grey Sharpnose Shark,"Land/water protection, Species management",0,36,CARCHARHINIFORMES,4,Decreasing,"Residential & commercial development, Biological resource use",Neritic,Near Threatened,
Triaenodon obesus,Whitetip Reef Shark,"Land/water protection, Species management, Law & policy",0,330,CARCHARHINIFORMES,3,Decreasing,"Residential & commercial development, Agriculture & aquaculture, Biological resource use, Human intrusions & disturbance",Neritic,Vulnerable,
Nebrius ferrugineus,Tawny Nurse Shark,"Land/water protection, Species management, Law & policy",0,70,ORECTOLOBIFORMES,3,Decreasing,"Biological resource use, Climate change & severe weather",Neritic,Vulnerable,
Chaenogaleus macrostoma,Hooktooth Shark,"Land/water protection, Species management, Law & policy",0,160,CARCHARHINIFORMES,3,Decreasing,"Residential & commercial development, Biological resource use",Neritic,Vulnerable,
Rhinoptera jayakari,Oman Cownose Ray,"Land/water protection, Species management, Law & policy",0,50,MYLIOBATIFORMES,2,Decreasing,"Residential & commercial development, Biological resource use, Climate change & severe weather","Neritic, Intertidal, Coastal/Supratidal",Endangered,
Narcine prodorsalis,Tonkin Numbfish,"Species management, Law & policy",0,100,TORPEDINIFORMES,2,Decreasing,Biological resource use,Neritic,Endangered,
Narcine timlei,Brown Numbfish,"Land/water protection, Species management",5,50,TORPEDINIFORMES,3,Decreasing,Biological resource use,Neritic,Vulnerable,
Somniosus cheni,Taiwan Sleeper Shark,null,0,345,SQUALIFORMES,6,Unknown,Biological resource use,Deep Benthic,Data Deficient,
Cetorhinus maximus,Basking Shark,"Land/water protection, Species management",0,1264,LAMNIFORMES,2,Decreasing,"Transportation & service corridors, Biological resource use","Neritic, Oceanic",Endangered,
Bathyraja isotrachys,Raspback Skate,Species management,370,2000,RAJIFORMES,5,Stable,Biological resource use,"Neritic, Deep Benthic",Least Concern,
Narke japonica,Japanese Sleeper Ray,"Land/water protection, Species management, Law & policy",12,140,TORPEDINIFORMES,3,Decreasing,"Residential & commercial development, Biological resource use",Neritic,Vulnerable,
Carcharhinus albimarginatus,Silvertip Shark,"Land/water protection, Species management",0,800,CARCHARHINIFORMES,3,Decreasing,Biological resource use,Deep Benthic,Vulnerable,
Carcharhinus falciformis,Silky Shark,"Species management, Education & awareness, Law & policy, Livelihood,economic & other incentives",18,500,CARCHARHINIFORMES,3,Decreasing,Biological resource use,"Neritic, Oceanic, Deep Benthic",Vulnerable,
Neotrygon orientalis,Oriental Bluespotted Maskray,null,0,100,MYLIOBATIFORMES,5,Stable,"Biological resource use, Natural system modifications, Climate change & severe weather","Neritic, Intertidal",Least Concern,
Neotrygon orientalis,Mahogany Maskray,null,0,100,MYLIOBATIFORMES,5,Stable,"Biological resource use, Natural system modifications, Climate change & severe weather","Neritic, Intertidal",Least Concern,
Carcharodon carcharias,White Shark,null,0,1200,LAMNIFORMES,3,Decreasing,Biological resource use,"Neritic, Oceanic",Vulnerable,
Alopias vulpinus,Common Thresher,"Land/water protection, Species management",0,650,LAMNIFORMES,3,Decreasing,Biological resource use,"Neritic, Oceanic",Vulnerable,
Mobula thurstoni,Bentfin Devil Ray,"Land/water protection, Species management",0,100,MYLIOBATIFORMES,2,Decreasing,Biological resource use,"Neritic, Oceanic",Endangered,
Mobula tarapacana,Sicklefin Devil Ray,"Land/water protection, Species management",0,1896,MYLIOBATIFORMES,2,Decreasing,Biological resource use,"Neritic, Oceanic",Endangered,
Mobula eregoodoo,Longhorned Pygmy Devil Ray,null,0,50,MYLIOBATIFORMES,2,Decreasing,Biological resource use,Neritic,Endangered,
Mobula mobular,Spinetail Devil Ray,"Land/water protection, Species management",0,1112,MYLIOBATIFORMES,2,Decreasing,Biological resource use,"Neritic, Oceanic",Endangered,
Mobula alfredi,Reef Manta Ray,"Land/water protection, Species management",0,432,MYLIOBATIFORMES,3,Decreasing,Biological resource use,"Neritic, Oceanic",Vulnerable,
Mobula birostris,Oceanic Manta Ray,null,0,1000,MYLIOBATIFORMES,2,Decreasing,Biological resource use,"Neritic, Oceanic",Endangered,
Mobula kuhlii,Shorthorned Pygmy Devil Ray,null,0,50,MYLIOBATIFORMES,2,Decreasing,Biological resource use,Neritic,Endangered,
Carcharhinus hemiodon,Pondicherry Shark,null,0,150,CARCHARHINIFORMES,1,Unknown,Biological resource use,Neritic,Critically Endangered,
,,,,,,,,,,,
